[' ',[u'chinese',[u'moroccan',[u'british',[u'greek',[u'russian',[u'southern_us',[u'irish',[u'mexican',[u'vietnamese',[u'brazilian',[u'japanese',[u'indian',[u'jamaican',[u'french',[u'spanish',[u'cajun_creole',[u'thai',[u'korean',[u'filipino',[u'italian',Max
 u'cumin',1,62,0,8,1,12,1,625,0,9,10,178,7,0,8,15,12,1,0,3,625
 u'fishsauce',63,0,0,0,0,0,0,2,392,2,9,6,0,0,0,0,625,48,98,2,625
 u'purpleonion',33,67,11,186,8,95,3,618,45,8,14,170,26,64,55,38,84,8,13,350,618
 u'cilantro',42,28,3,0,1,5,2,617,77,23,18,156,6,1,6,7,131,6,10,3,617
 u'shreddedcheddarcheese',0,0,8,2,2,83,8,599,0,1,0,0,0,9,2,8,0,2,4,42,599
 u'scallions',591,5,4,21,8,67,14,166,99,8,229,35,111,17,23,84,135,196,17,61,591
 u'flatleafparsley',1,66,6,65,11,47,8,21,0,10,3,5,3,125,82,49,1,1,2,588,588
 u'dicedtomatoes',3,53,1,57,8,71,3,548,4,16,2,123,8,44,62,187,8,0,3,431,548
 u'oil',338,19,22,10,21,91,5,178,69,18,146,546,38,27,20,38,99,40,166,100,546
 u'limejuice',15,0,1,2,0,16,0,538,106,25,12,59,48,3,5,4,220,4,8,6,538
 u'ginger',490,52,11,1,3,16,4,8,66,7,190,526,28,5,1,3,134,144,65,1,526
 u'tumeric',0,109,9,0,1,9,1,5,12,3,28,492,15,1,8,1,38,0,1,5,492
 u'cookingspray',38,38,2,67,3,113,48,269,19,2,18,64,12,166,44,42,39,12,3,491,491
 u'greenchilies',14,2,0,0,0,5,0,170,4,3,31,484,2,0,1,1,20,17,15,3,484
 u'garlicpowder',71,8,10,34,6,238,11,483,16,4,15,30,38,11,4,156,19,11,25,252,483
 u'parmesancheese',1,0,4,9,1,39,0,12,0,12,3,2,0,15,4,13,1,0,1,474,474
 u'freshlemonjuice',19,126,20,222,16,151,16,69,8,9,28,133,1,239,55,67,20,7,2,471,471
 u'freshginger',469,33,2,0,2,17,1,10,86,14,124,379,31,7,2,1,200,102,19,4,469
 u'vanillaextract',12,2,59,25,29,464,29,81,3,12,17,11,21,219,30,40,1,3,21,219,464
 u'ricevinegar',461,0,0,4,0,11,0,21,135,0,261,6,0,3,3,1,153,127,10,8,461
 u'bakingsoda',46,0,73,17,24,447,115,31,1,5,16,37,11,16,3,23,2,5,2,68,447
 u'freshcilantro',16,48,1,2,5,7,0,440,37,20,10,106,8,2,10,4,114,1,4,6,440
 u'driedbasil',1,1,1,27,1,18,0,22,1,0,1,3,1,19,5,58,0,0,1,425,425
 u'crushedredpepper',75,14,1,22,0,61,5,20,16,2,14,32,5,12,31,22,58,16,1,418,418
 u'shreddedmozzarellacheese',1,0,0,4,1,4,1,36,0,1,1,3,2,3,0,3,0,1,1,413,413
 u'redbellpepper',157,46,1,48,6,110,6,408,30,29,34,72,30,67,142,162,185,17,40,356,408
 u'whiteonion',27,13,2,3,2,20,8,405,7,11,15,39,11,13,9,23,12,8,8,48,405
 u'currypowder',13,18,12,3,0,22,0,6,19,2,17,403,66,12,4,1,81,2,5,8,403
 u'mirin',27,0,0,0,0,0,0,1,6,0,402,0,0,1,0,0,7,59,0,0,402
 u'groundbeef',21,10,13,20,12,13,6,399,7,3,11,14,19,1,11,21,10,22,28,237,399
 u'mozzarellacheese',0,0,0,4,3,6,1,37,0,4,2,0,2,3,0,6,3,0,0,396,396
 u'chickenbroth',165,32,6,20,9,202,10,393,16,11,15,43,7,49,41,176,73,9,34,245,393
 u'choppedcilantro',40,36,0,1,2,6,0,385,33,15,8,155,3,4,12,4,80,2,1,9,385
 u'tomatopaste',25,56,19,34,19,29,22,152,10,15,8,162,8,75,37,91,14,3,8,380,380
 u'groundcoriander',3,138,5,11,1,10,0,92,11,12,6,380,8,7,6,5,58,1,3,11,380
 u'carrots',298,155,59,30,77,129,105,152,196,26,184,197,44,221,39,50,175,170,128,379,379
 u'tomatosauce',7,6,0,27,7,31,1,241,2,2,3,58,5,6,19,61,4,0,32,364,364
 u'cilantroleaves',67,35,1,0,0,6,1,328,101,17,41,353,9,0,11,4,176,1,2,7,353
 u'coconutmilk',8,2,0,0,0,13,1,7,29,58,13,216,71,1,1,1,353,0,74,6,353
 u'freshbasilleaves',2,2,1,7,1,7,0,10,23,0,2,1,0,34,6,4,50,0,0,352,352
 u'balsamicvinegar',32,5,16,24,4,28,6,24,1,0,4,6,1,35,21,8,4,4,3,348,348
 u'italianseasoning',1,0,1,4,1,16,2,6,0,0,1,0,0,7,1,7,0,0,1,347,347
 u'greenbellpepper',67,13,2,37,8,115,4,250,5,19,7,36,23,15,68,341,23,3,18,176,341
 u'plumtomatoes',9,19,1,47,1,25,2,184,6,6,2,68,4,56,49,26,8,1,4,340,340
 u'mincedgarlic',212,28,9,68,6,75,6,211,64,13,30,92,18,49,52,98,90,97,32,334,334
 u'part',0,1,0,7,0,0,1,18,0,0,0,1,0,9,3,2,1,0,0,334,334
 u'oystersauce',333,0,0,0,0,1,0,0,24,0,9,1,1,0,0,0,44,9,33,0,333
 u'ricottacheese',1,1,0,4,3,0,0,5,0,0,0,1,0,4,0,0,0,0,0,333,333
 u'choppedonion',11,34,5,43,10,106,19,315,3,9,3,97,13,64,55,110,20,1,6,327,327
 u'zucchini',30,40,3,47,1,14,4,140,3,3,17,42,5,86,17,13,44,51,6,326,326
 u'cayennepepper',26,85,21,22,7,233,9,325,3,13,22,249,42,39,30,297,35,9,6,50,325
 u'hoisinsauce',323,0,0,0,0,2,0,1,62,0,9,0,0,1,0,0,17,4,10,0,323
 u'shallots',72,30,19,29,9,64,11,45,151,5,30,56,9,321,28,23,234,6,19,316,321
 u'freshlygroundpepper',25,29,14,36,8,147,15,86,19,5,16,29,5,105,26,38,18,5,7,316,316
 u'tomatillos',0,0,0,0,0,8,0,310,0,0,0,0,1,1,2,0,0,0,0,0,310
 u'capers',0,8,4,30,10,8,4,27,0,1,0,0,1,92,20,30,0,0,0,306,306
 u'parmigianoreggianocheese',0,0,1,2,1,14,2,3,0,0,0,0,0,21,1,2,0,0,0,306,306
 u'clove',23,15,3,14,5,18,8,57,32,3,17,306,10,36,12,6,12,3,1,19,306
 u'spaghetti',16,0,0,4,0,2,0,4,1,0,0,0,0,3,5,4,6,0,2,303,303
 u'heavycream',5,1,92,7,15,203,39,53,2,6,13,105,1,210,18,61,8,3,4,300,300
 u'lemongrass',14,0,0,0,0,1,0,0,121,1,6,8,1,0,2,0,298,1,10,1,298
 u'shreddedmontereyjackcheese',0,0,0,1,0,10,0,296,0,0,0,0,0,4,0,1,0,0,0,13,296
 u'enchiladasauce',0,0,0,0,0,1,0,294,0,0,0,0,0,0,0,0,0,0,0,0,294
 u'tortillachips',0,0,0,0,0,3,0,294,0,0,0,0,0,0,1,0,1,1,0,2,294
 u'bonelessskinlesschickenbreasts',198,14,1,35,4,49,0,294,28,5,25,96,10,19,13,59,115,4,10,132,294
 u'largegarliccloves',40,34,4,36,11,26,4,109,19,3,9,59,6,69,71,34,38,8,0,293,293
 u'cajunseasoning',0,0,0,0,0,71,0,6,0,0,0,0,0,1,0,293,0,0,0,5,293
 u'freshrosemary',0,4,10,24,1,20,8,7,0,0,0,1,1,54,11,8,0,1,0,292,292
 u'sake',30,0,0,0,0,0,0,0,3,0,289,0,0,2,0,0,5,13,2,1,289
 u'yellowonion',44,48,20,15,9,73,17,288,50,21,21,140,20,49,35,86,33,33,29,153,288
 u'peanutoil',280,1,1,0,0,72,1,20,27,1,19,37,6,5,0,26,91,13,6,4,280
 u'ghee',1,0,2,0,0,2,0,2,0,0,22,273,1,0,0,1,2,0,1,0,273
 u'lemonjuice',45,74,21,183,31,167,10,91,9,11,39,271,7,92,28,58,22,10,10,216,271
 u'flour',93,22,82,10,61,269,42,167,9,13,49,69,47,85,27,107,8,21,28,143,269
 u'tacoseasoning',0,0,0,0,0,2,0,268,0,0,0,0,0,0,0,0,0,0,1,0,268
 u'brownsugar',235,9,39,4,7,261,38,101,62,11,61,55,72,38,10,28,208,116,81,67,261
 u'arboriorice',1,0,0,0,0,3,0,1,0,0,0,0,0,1,21,3,0,0,1,261,261
 u'granulatedsugar',38,6,27,10,17,261,31,47,22,20,43,14,11,110,7,34,28,24,17,82,261
 u'canolaoil',177,18,18,10,9,108,4,258,82,12,59,159,10,27,7,77,74,46,27,41,258
 u'refriedbeans',0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,257
 u'cinnamonsticks',41,70,8,31,5,24,5,67,34,2,9,256,7,17,33,3,12,2,2,18,256
 u'prosciutto',0,0,7,1,0,4,0,1,0,0,1,0,0,8,6,0,0,0,0,256,256
 u'cheddarcheese',1,0,28,3,1,71,14,255,0,3,0,4,1,6,3,4,0,3,9,18,255
 u'pasta',4,2,0,10,1,9,0,22,0,0,0,0,1,5,1,8,0,1,2,255,255
 u'mustardseeds',0,0,7,1,0,15,4,0,0,0,13,254,3,4,0,7,3,0,1,1,254
 u'lightsoysauce',254,0,0,0,0,2,0,1,11,0,28,1,0,0,0,0,30,13,7,0,254
 u'pinenuts',3,12,3,17,0,3,1,12,0,1,0,2,0,11,17,0,0,14,0,252,252
 u'fetacheesecrumbles',1,6,0,252,0,3,0,18,0,0,0,3,0,3,3,1,0,0,0,68,252
 u'freshparmesancheese',0,0,0,4,0,7,3,0,0,0,0,1,0,15,2,3,0,0,0,251,251
 u'potatoes',7,17,65,31,66,40,120,69,6,9,39,251,22,63,60,11,9,24,50,59,251
 u'limewedges',7,3,0,0,0,3,1,248,40,14,6,27,5,0,6,2,113,0,2,5,248
 u'groundcinnamon',8,223,43,73,15,248,28,176,1,4,4,124,75,69,26,20,4,1,4,85,248
 u'pastasauce',0,1,0,3,0,0,1,7,0,0,0,0,0,0,1,3,0,0,4,247,247
 u'shaoxingwine',247,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,2,0,4,0,247
 u'celery',71,15,12,15,16,97,17,53,9,2,13,5,11,58,9,246,10,4,19,155,246
 u'basmatirice',8,6,6,8,2,5,0,8,2,2,2,246,2,0,2,7,17,1,0,2,246
 u'plainyogurt',1,5,0,56,4,10,3,20,0,3,1,244,0,7,2,0,1,0,0,7,244
 u'driedthyme',3,5,23,36,1,112,22,38,0,6,1,6,105,101,22,242,1,0,4,145,242
 u'crushedtomatoes',1,15,1,10,0,7,0,59,1,9,1,49,0,10,12,37,0,0,0,241,241
 u'honey',241,100,11,68,21,156,10,119,33,10,73,58,8,67,22,14,71,80,12,126,241
 u'chickenbreasts',111,15,1,16,4,32,0,240,18,8,18,75,12,12,5,43,74,2,14,93,240
 u'spicepowder',236,0,0,0,0,0,0,0,15,0,3,2,6,2,0,0,5,0,2,2,236
 u'lemon',21,109,38,129,31,143,12,45,14,12,39,134,9,56,74,72,17,1,38,236,236
 u'corn',6,3,4,0,2,37,0,235,0,3,7,4,3,3,2,18,4,0,5,3,235
 u'whitesugar',102,4,44,32,19,191,31,75,29,12,60,53,7,53,18,18,38,33,43,231,231
 u'darksoysauce',230,0,0,0,0,1,0,0,13,0,22,0,2,0,0,0,30,8,6,0,230
 u'coriander',32,40,1,2,0,1,1,54,23,6,14,227,5,0,2,1,43,5,1,0,227
 u'redwinevinegar',31,13,7,99,20,44,6,95,2,8,6,17,7,84,57,20,6,1,2,227,227
 u'greenchile',1,2,0,0,0,12,0,226,2,0,0,31,0,1,3,3,11,0,0,10,226
 u'andouillesausage',0,0,0,0,0,35,0,1,0,1,0,0,0,0,5,224,0,0,0,1,224
 u'sesameseeds',162,13,0,12,0,6,2,45,14,2,125,21,0,2,1,0,30,223,5,13,223
 u'chinesefive',223,0,0,0,0,0,0,0,13,0,2,1,4,2,0,0,5,0,2,1,223
 u'whitepepper',222,8,7,5,3,30,6,9,18,0,16,11,5,14,4,30,21,5,3,22,222
 u'largeeggyolks',5,1,34,14,17,56,8,23,1,3,9,3,0,222,21,10,1,4,1,142,222
 u'lasagnanoodles',0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,2,0,0,0,222,222
 u'chicken',92,40,1,20,3,109,4,222,31,6,24,122,37,44,22,41,46,14,40,87,222
 u'marinarasauce',0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,222,222
 u'garlicpaste',13,0,0,0,0,1,0,1,4,0,23,221,2,0,0,0,10,5,1,1,221
 u'bayleaves',7,10,14,15,25,80,27,102,5,29,9,110,16,115,39,220,7,2,97,107,220
 u'yellowcornmeal',0,0,2,0,0,216,4,25,0,2,0,2,1,6,2,17,0,0,0,64,216
 u'creoleseasoning',1,0,0,1,0,46,0,7,0,0,0,0,1,0,0,216,0,0,0,4,216
 u'paprika',14,150,17,20,10,202,12,214,6,11,8,189,22,31,83,192,16,6,8,76,214
 u'lowsodiumsoysauce',213,0,1,1,0,4,0,6,13,1,64,1,8,1,0,0,46,45,16,5,213
 u'corianderpowder',1,2,0,0,0,1,0,1,0,0,24,213,1,0,0,0,2,0,0,1,213
 u'yoghurt',0,1,2,10,0,4,0,6,0,1,6,211,1,2,0,0,1,0,0,2,211
 u'corianderseeds',3,38,0,2,4,4,1,33,21,0,15,210,3,13,3,4,33,0,1,7,210
 u'freshoregano',0,2,0,83,0,3,2,53,0,0,0,0,0,11,19,10,1,0,1,209,209
 u'tortillas',0,0,0,1,1,0,0,208,0,0,0,2,2,0,1,1,3,3,0,0,208
 u'curryleaves',0,0,0,0,0,3,0,0,1,0,5,208,0,0,0,0,2,0,0,0,208
 u'redpepperflakes',98,10,0,10,1,40,0,57,17,14,16,34,10,7,15,25,52,53,4,206,206
 u'montereyjack',0,0,0,0,0,9,0,204,1,2,0,1,0,1,1,7,1,0,0,8,204
 u'eggplant',19,34,0,61,2,3,0,4,3,0,17,56,1,40,11,4,19,3,20,204,204
 u'choppedpecans',0,0,3,2,0,204,3,11,0,1,1,2,4,8,0,15,0,0,0,28,204
 u'shrimp',119,3,2,9,1,106,0,65,54,23,32,13,10,14,35,204,101,23,39,59,204
 u'seasalt',38,29,16,35,9,72,12,134,12,10,38,85,17,101,30,26,32,30,12,202,202
 u'skimmozzarellacheese',0,0,0,5,0,0,1,12,0,0,0,0,0,4,2,1,1,0,0,202,202
 u'cheese',1,0,7,15,2,29,5,202,1,5,0,6,1,30,3,6,2,1,4,127,202
 u'creamcheese',21,0,9,15,20,159,13,201,0,8,17,4,6,44,5,32,2,0,4,145,201
 u'oregano',0,1,3,37,2,11,1,198,0,5,0,2,3,7,8,48,0,0,0,114,198
 u'linguine',7,0,0,3,0,2,0,3,3,0,1,0,0,3,3,15,15,0,0,195,195
 u'hotsauce',15,0,3,4,3,194,1,180,10,11,8,7,7,7,12,169,13,10,0,20,194
 u'tacoseasoningmix',0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,193
 u'chilepepper',6,0,0,2,0,12,0,193,10,7,3,63,9,1,5,7,15,3,2,2,193
 u'bacon',15,0,12,1,7,192,36,71,2,16,6,0,6,71,14,37,1,7,3,126,192
 u'cornmeal',2,3,11,0,1,191,0,39,0,2,0,1,13,10,3,20,0,0,0,72,191
 u'fatsourcream',1,2,1,5,3,12,12,191,0,0,0,7,2,16,7,6,0,0,0,35,191
 u'fetacheese',0,6,0,191,2,1,0,24,0,0,0,2,0,4,1,0,1,0,0,36,191
 u'wholemilk',4,3,51,16,18,191,15,56,2,11,9,45,2,127,20,26,4,1,6,157,191
 u'peaches',1,3,1,0,1,188,1,13,0,1,0,6,0,17,12,1,0,0,0,18,188
 u'half',0,4,24,6,8,188,10,60,4,2,2,32,2,104,14,28,8,0,0,179,188
 u'cucumber',41,5,3,187,13,18,3,52,100,1,66,60,1,5,58,0,77,51,2,25,187
 u'low',2,4,8,26,7,81,44,110,2,5,1,59,2,74,14,19,8,0,0,186,186
 u'worcestershiresauce',37,0,52,3,6,180,22,65,1,2,22,2,10,19,14,186,3,1,9,54,186
 u'mushrooms',72,2,17,4,17,9,7,29,7,0,31,17,1,75,13,16,37,37,3,184,184
 u'onionpowder',19,2,7,11,0,116,4,183,0,1,5,11,28,3,2,88,1,6,2,39,183
 u'sweetpotatoes',4,37,7,1,1,182,3,52,4,10,12,57,18,6,4,9,30,6,5,15,182
 u'bonelessskinlesschickenbreasthalves',53,11,1,18,3,27,3,127,5,3,5,45,10,28,9,35,49,0,4,182,182
 u'warmwater',34,20,14,15,22,30,7,55,24,2,11,57,5,45,8,24,9,4,9,182,182
 u'peeledfreshginger',182,15,2,0,1,5,4,4,29,4,49,155,7,6,4,0,78,21,5,11,182
 u'mayonaise',12,7,7,16,31,182,8,166,33,10,51,13,9,47,15,80,10,9,12,63,182
 u'guacamole',0,0,0,0,0,0,0,182,0,0,1,0,1,0,1,0,0,0,0,0,182
 u'groundpork',179,1,8,4,9,2,1,32,39,0,27,1,2,7,6,9,20,7,47,72,179
 u'crushedredpepperflakes',74,4,2,7,1,37,0,40,12,6,5,32,7,0,9,22,38,25,5,179,179
 u'cornkernels',6,0,0,0,0,46,0,177,2,1,2,7,1,2,7,10,3,1,2,13,177
 u'whitewine',12,3,2,11,2,17,3,5,4,10,4,2,0,57,21,27,6,4,1,176,176
 u'groundginger',111,175,29,5,2,63,11,5,9,3,15,124,33,20,3,2,25,22,6,15,175
 u'groundcardamom',0,20,1,1,4,6,3,2,0,0,9,174,2,5,1,1,1,0,1,6,174
 u'basil',3,1,1,7,0,6,2,5,17,0,0,1,1,18,9,9,26,1,1,174,174
 u'chipotlesinadobo',1,0,0,0,0,9,0,174,0,1,1,1,1,0,1,1,0,0,1,2,174
 u'celeryribs',17,12,8,5,11,85,9,23,3,2,1,8,2,60,6,173,2,1,9,130,173
 u'redchilipowder',3,0,0,0,0,3,0,6,1,0,23,171,0,0,0,2,3,7,0,1,171
 u'whippingcream',3,2,55,2,10,98,19,39,0,3,0,15,1,171,13,25,1,0,0,162,171
 u'bourbonwhiskey',1,0,2,1,0,170,2,3,0,0,0,0,0,8,0,7,0,0,0,5,170
 u'cherrytomatoes',7,10,5,51,0,15,0,78,1,2,5,11,1,33,7,6,34,0,0,170,170
 u'dijonmustard',7,3,18,16,9,85,12,18,1,3,11,7,6,170,12,30,2,3,1,99,170
 u'mexicancheeseblend',0,0,0,0,0,3,0,169,0,0,0,0,0,0,1,1,0,0,0,0,169
 u'leangroundbeef',11,3,15,13,6,9,0,168,1,0,0,0,8,2,1,10,5,11,3,137,168
 u'peanuts',78,1,1,0,0,48,1,11,48,3,2,31,2,0,0,4,165,5,5,1,165
 u'redchilipeppers',137,10,0,2,1,3,1,43,63,4,22,165,4,0,4,4,120,34,5,22,165
 u'toastedsesameoil',164,0,0,0,0,0,1,1,21,0,61,1,0,0,0,0,27,77,0,2,164
 u'grits',0,0,0,0,1,163,0,0,0,0,0,0,0,0,0,17,0,0,0,3,163
 u'cannellinibeans',0,1,0,3,0,3,0,5,0,0,0,2,1,22,5,0,0,0,0,161,161
 u'chickenstock',161,53,14,13,6,74,23,146,28,11,35,46,19,58,29,80,70,12,19,142,161
 u'fatfreelesssodiumchickenbroth',32,25,0,12,0,24,7,59,1,3,3,29,1,52,23,23,19,2,0,158,158
 u'cookedchicken',23,1,0,4,0,22,1,156,9,1,4,2,1,5,4,16,13,0,1,33,156
 u'cinnamon',11,120,17,21,14,117,9,71,14,8,10,156,45,19,9,20,7,3,2,23,156
 u'shreddedlettuce',1,0,0,3,0,5,0,154,7,0,0,0,0,0,0,1,2,0,1,1,154
 u'pancetta',0,0,1,1,1,4,0,1,0,1,0,0,1,9,4,1,0,0,0,153,153
 u'basilleaves',4,1,1,0,0,6,0,5,19,1,3,3,0,18,0,3,50,0,0,153,153
 u'beansprouts',109,0,0,0,0,0,0,0,127,0,22,1,0,0,0,0,152,32,10,1,152
 u'choppedfreshthyme',0,2,6,11,0,31,8,3,0,0,0,1,11,105,17,29,0,0,0,151,151
 u'coarsesalt',37,18,11,20,9,60,8,150,4,5,7,37,5,21,12,23,9,10,4,128,150
 u'waterchestnuts',150,0,0,2,0,5,0,1,2,0,4,0,0,0,0,2,18,2,16,3,150
 u'pintobeans',0,1,0,0,0,10,0,149,0,1,0,0,0,1,2,1,0,0,0,6,149
 u'bayleaf',4,13,19,18,12,54,23,75,4,23,13,118,4,149,46,106,4,1,23,130,149
 u'frozenchoppedspinach',3,0,0,26,0,6,1,18,1,0,2,14,1,8,1,0,0,0,2,149,149
 u'springonions',148,1,4,2,0,1,7,13,43,4,42,12,8,3,0,2,54,46,14,3,148
 u'black',1,0,1,3,0,147,0,8,0,5,0,8,4,1,0,19,0,1,0,4,147
 u'pecorinoromanocheese',0,0,0,4,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,146,146
 u'pennepasta',1,0,0,11,0,2,0,11,0,0,0,0,0,2,1,3,1,0,0,146,146
 u'sun',0,3,0,17,0,4,0,5,0,0,1,5,0,6,3,7,0,0,0,146,146
 u'choppedcelery',9,7,4,8,2,74,10,16,0,1,3,11,2,19,7,145,3,0,2,103,145
 u'eyedpeas',0,0,0,3,0,145,0,8,0,5,0,7,4,1,0,19,0,1,0,3,145
 u'finelychoppedonion',5,8,4,16,4,37,7,82,2,7,3,56,9,24,12,27,3,1,5,145,145
 u'chickpeas',1,127,0,30,1,2,0,16,0,0,3,143,0,12,19,3,6,1,1,37,143
 u'collardgreens',0,1,0,0,0,142,0,0,0,10,0,0,1,0,2,6,0,0,0,5,142
 u'gratedlemonzest',4,15,8,40,1,31,14,10,0,1,3,7,0,42,11,4,7,1,1,142,142
 u'couscous',0,142,0,12,0,0,0,4,0,0,0,15,0,5,3,1,2,0,0,5,142
 u'lightbrownsugar',32,3,25,2,0,139,12,22,21,2,11,16,10,25,2,12,53,16,4,15,139
 u'provolonecheese',0,0,0,0,0,5,2,2,0,0,0,0,0,4,0,14,0,0,0,138,138
 u'lowsaltchickenbroth',13,24,2,10,1,26,2,42,4,1,4,16,2,47,18,21,13,0,1,138,138
 u'largeeggwhites',34,1,10,13,4,58,16,31,3,3,9,2,1,136,8,8,5,4,1,138,138
 u'cotija',0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,1,0,0,0,0,138
 u'quesofresco',0,0,0,0,0,0,0,137,0,3,0,0,0,0,1,0,0,0,0,0,137
 u'leeks',29,4,18,8,9,16,38,3,4,2,19,5,1,137,11,7,6,9,3,106,137
 u'frozencorn',3,0,1,0,1,18,0,136,0,1,2,2,1,1,0,4,1,0,3,1,136
 u'fettucine',1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,14,2,0,1,136,136
